unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
1113,scene,casino-indoor-s,0.031082554,yellow-c,34166024,3355554,229165,0.006145084,shelf,1919975,1686624,67332,0.019024278,shop window,233888,702111,14500,0.015735231,food,1104928,899413,44313,0.02260835,casino-indoor-s,652288,889830,46488,0.031082554,,24924928,189610,117427,0.004697623
1114,object,dog,0.099674598,black-c,139916835,3645699,835263,0.005852161,dog,3793935,2696615,588304,0.099674598,torso,7669375,2267581,506298,0.053686392,fur,103280,698506,18722,0.023908646,poolroom-home-s,1317120,367273,77241,0.048060793,matted,1593088,142962,8447,0.004889434
1115,object,chair,0.038895138,orange-c,30348501,3632373,345868,0.010282977,chair,4633108,1876023,243695,0.038895138,back,593570,551222,34356,0.030939199,wood,9793596,959458,102677,0.009640692,staircase-s,865536,1336709,70448,0.033046298,,24924928,161707,135230,0.005419735
1116,object,train,0.031426199,black-c,139916835,3549596,1091799,0.007668494,train,1646804,2082763,113635,0.031426199,head,4946761,865889,108559,0.019031779,metal,3462561,653282,22219,0.005427709,alley-s,1091328,895447,55140,0.028545766,smeared,1869056,286398,22813,0.010697065
1117,part,roof,0.032072296,blue-c,61494563,3603408,400438,0.006189386,bird,1030707,2023945,62009,0.02072048,roof,443437,582576,31884,0.032072296,fabric,8548746,888819,129502,0.013912884,jacuzzi-indoor-s,526848,1180738,38279,0.022931073,potholed,1580544,306835,19638,0.010514306
1118,texture,porous,0.094498945,grey-c,159331282,3666169,1160001,0.007167692,dog,3793935,1358170,191243,0.038550357,muzzle,666221,845773,32730,0.022125868,food,1104928,479829,16780,0.010701688,shoe_shop-s,577024,254427,65477,0.085482014,porous,1856512,1694476,306592,0.094498945
1119,object,mountain,0.059429535,green-c,63326720,3708348,799188,0.012065787,mountain,5469345,3439363,499741,0.059429535,coach,689166,577875,24827,0.019986089,foliage,30325,60625,1042,0.011589625,highway-s,4076800,1840207,311336,0.055539471,potholed,1580544,423566,81385,0.042327946
1120,texture,pleated,0.07305795,grey-c,159331282,3619529,1017647,0.006284364,house,1833277,2035230,145154,0.038984754,garage door,63629,462977,16587,0.032522318,concrete,382930,459209,7513,0.009001637,manufactured_home-s,137984,1284811,25311,0.018111835,pleated,1505280,499027,136461,0.07305795
1121,object,dog,0.072923422,blue-c,61494563,3614859,388821,0.006007685,dog,3793935,2681675,440128,0.072923422,ear,784263,1886340,95960,0.037271187,fur,103280,559306,9203,0.014085154,dolmen-s,163072,550621,10651,0.015149877,wrinkled,1555456,221262,15775,0.008958268
1122,object,train,0.036081573,black-c,139916835,3648328,946428,0.006636071,train,1646804,2562180,146578,0.036081573,coach,689166,840644,49790,0.033641437,wood,9793596,516426,37094,0.00361085,water_tower-s,275968,1063042,36260,0.027833429,,24924928,352570,316394,0.012675481
